Id,Date,Time,League,Home,Away,Odd_H_Asian,Asian_Points,Odd_A_Asian,Odd_H,Odd_A,Over_Points,Points,Under_Points,Games_H,Aggression_Home,HandScore_Home,Games_A,Aggression_Away,HandScore_Away,M_H,MT_H,M_A,MT_A
678279,2025-10-31,18:30,Chilean National Basketball League,Espanol de Talca,Puente Alto,0.83,-5.5,0.83,2.65,1.43,0.83,145.5,0.83,19.0,-0.7894736842105263,7.399999999999995,23.0,-0.3043478260869565,12.2,-0.7846115389892304,-0.11769173084838455,0.5660409642503725,-0.9999999999999949
663562,2025-10-31,19:00,National Basketball Association,Indiana Pacers,Atlanta Hawks,0.95,-2.5,0.87,2.25,1.67,0.91,232.5,0.91,3.0,-0.3333333333333333,26.700000000000003,2.0,0.0,-40.0,0.7552689192490586,2.0000000000000004,-1.74746034595707,-0.2621190518935605
663563,2025-10-31,19:00,National Basketball Association,Philadelphia 76ers,Boston Celtics,0.95,1.5,0.87,1.80,2.05,0.91,234.5,0.91,3.0,-1.0,-40.0,2.0,-1.0,10.0,-1.4608135277542371,-0.21912202916313556,-0.32585976668031846,-0.04887896500204777
663564,2025-10-31,19:30,National Basketball Association,Cleveland Cavaliers,Toronto Raptors,0.95,7,0.87,1.36,3.25,0.91,239.5,0.91,2.0,1.0,10.0,3.0,-0.3333333333333333,26.700000000000003,0.20041769188841332,0.030062653783262,0.1489548267981166,0.02234322401971749
678276,2025-10-31,19:30,Chilean National Basketball League,ABA Ancud,Universidad Concepcion,0.83,-2.5,0.83,2.10,1.67,0.83,156.5,0.83,24.0,0.3333333333333333,22.5,24.0,0.5833333333333334,10.0,0.8603492478767856,-0.897145833821689,0.31028455790937315,-0.8164965809277256
663565,2025-10-31,20:00,National Basketball Association,Chicago Bulls,New York Knicks,0.91,-4.5,0.91,2.60,1.53,0.91,234,0.91,5.0,-0.6,40.0,3.0,1.0,26.700000000000003,1.1971564236740033,1.0,0.1489548267981166,0.02234322401971749
671426,2025-10-31,20:30,Liga Nacional de Bosquetbol,San Martin,Argentino de Junin,0.83,13,0.83,1.10,6.50,0.83,157.5,0.83,2.0,1.0,60.0,2.0,-1.0,-40.0,1.0826314489953037,0.16239471734929556,-1.5246730816907785,-0.22870096225361677
678277,2025-10-31,21:15,Chilean National Basketball League,CD Puerto Varas,Las Animas,0.83,5.5,0.83,1.43,2.65,0.83,154.5,0.83,23.0,0.391304347826087,12.2,21.0,-0.8095238095238095,2.899999999999995,-0.2617100968066555,0.7071067811865469,-0.5151111171002168,-0.07726666756503252
663566,2025-10-31,21:30,National Basketball Association,Memphis Grizzlies,Los Angeles Lakers,0.91,2,0.91,1.77,2.10,0.91,239,0.91,3.0,-0.3333333333333333,-6.700000000000006,3.0,0.3333333333333333,26.700000000000003,-0.35443353547223205,-0.053165030320834805,0.1489548267981166,0.5773502691896257
663568,2025-10-31,22:00,National Basketball Association,Portland Trail Blazers,Denver Nuggets,0.91,-5,0.91,2.75,1.48,0.91,240,0.91,2.0,0.0,-40.0,5.0,-0.2,40.0,-1.4608135277542371,-0.21912202916313556,0.5271005808857324,-1.4142135623730951
663567,2025-10-31,22:00,National Basketball Association,Phoenix Suns,Utah Jazz,0.91,3,0.91,1.67,2.25,0.91,237.5,0.91,3.0,0.3333333333333333,-6.700000000000006,3.0,-1.0,26.700000000000003,-0.35443353547223205,-0.053165030320834805,0.1489548267981166,0.0
